player,team,ftx_position,position,deadball agg,fpts,FKs,CKs,ghost points,negative fpts,gp,passes (dead),touches (att 3rd),prog passes,crosses,crosses (penalty),home
Oliver Norwood,SHU,M,CM,159.0,86.0,41.0,25.0,86.5,-9.5,13,67.0,129.0,56.0,38.0,2.0,7
Vladimir Coufal,WHU,D,RB,155.0,145.5,6.0,1.0,158.5,-72.0,19,154.0,249.0,64.0,49.0,10.0,7
Mathias Jensen,BRF,M,CM,153.0,132.0,22.0,20.0,90.0,-8.0,12,106.0,183.0,49.0,36.0,2.0,6
Tyrick Mitchell,CRY,D,LB,142.0,77.25,6.0,0.0,90.25,-60.0,17,142.0,208.0,40.0,27.0,5.0,6
Nelson Semedo,WOL,D,RB,137.0,66.25,13.0,0.0,122.75,-75.5,18,137.0,229.0,47.0,28.0,3.0,8
Eberechi Eze,CRY,M,AM,137.0,139.5,21.0,31.0,128.0,-15.5,10,64.0,256.0,33.0,48.0,1.0,4
Joel Ward,CRY,D,RB,133.0,62.75,15.0,0.0,89.75,-58.0,15,133.0,163.0,48.0,19.0,2.0,7
Dominik Szoboszlai,LIV,M,RM,131.0,181.0,20.0,27.0,141.5,-9.5,18,87.0,415.0,103.0,55.0,5.0,7
Diogo Dalot,MUN,D,LB,124.0,136.75,11.0,2.0,148.25,-58.5,16,124.0,281.0,59.0,43.0,10.0,8
Antonee Robinson,FUL,D,LB,123.0,144.75,13.0,0.0,187.75,-88.0,18,123.0,255.0,55.0,49.0,10.0,7
Kyle Walker,MCI,D,RB,120.0,93.75,22.0,0.0,109.25,-46.5,18,120.0,342.0,79.0,26.0,5.0,7
Gustavo Hamer,SHU,M,AM,113.0,118.0,24.0,26.0,107.5,-15.5,17,73.0,203.0,59.0,45.0,2.0,8
Timothy Castagne,FUL,D,LB,111.0,87.0,6.0,0.0,97.0,-34.0,13,111.0,191.0,43.0,24.0,4.0,7
Emerson,WHU,D,LB,111.0,100.0,4.0,0.0,128.0,-66.0,17,111.0,176.0,47.0,18.0,5.0,6
Vitalii Mykolenko,EVE,D,LB,109.0,130.5,0.0,0.0,111.5,-38.0,14,109.0,174.0,21.0,25.0,3.0,7
Josh Brownhill,BUR,M,LM,108.0,118.0,16.0,30.0,103.5,-5.5,15,54.0,203.0,43.0,27.0,0.0,5
Ben White,ARS,D,CB,108.0,136.75,21.0,0.0,119.75,-43.0,16,108.0,232.0,63.0,20.0,6.0,6
Iyenoma Destiny Udogie,TOT,D,LB,107.0,98.5,12.0,0.0,116.5,-66.0,16,107.0,238.0,60.0,10.0,0.0,8
Konstantinos Tsimikas,LIV,D,LB,107.0,94.25,10.0,17.0,61.25,-12.0,7,76.0,148.0,25.0,39.0,1.0,4
Charlie Taylor,BUR,D,LB,106.0,62.0,10.0,0.0,96.5,-63.5,15,106.0,172.0,49.0,28.0,3.0,5
Lewis Cook,BOU,M,DM,105.0,90.5,31.0,23.0,94.5,-14.0,11,57.0,96.0,41.0,32.0,1.0,5
Milos Kerkez,BOU,D,LB,105.0,37.25,5.0,0.0,74.75,-62.5,13,105.0,167.0,21.0,32.0,6.0,6
Pedro Neto,WOL,F,RM,100.0,154.0,17.0,25.0,107.5,-10.5,10,51.0,278.0,31.0,74.0,8.0,5
Max Aarons,BOU,D,RB,97.0,23.75,9.0,0.0,57.75,-53.0,11,97.0,117.0,31.0,10.0,2.0,7
Jack Robinson,SHU,D,CB,92.0,21.5,15.0,0.0,116.0,-107.5,18,92.0,77.0,28.0,3.0,0.0,9
Bukayo Saka,ARS,M,RW,90.0,291.5,5.0,60.0,212.5,-20.0,18,71.0,573.0,50.0,86.0,6.0,7
James Garner,EVE,M,RM,90.0,146.0,15.0,28.0,135.5,-9.5,17,64.0,229.0,54.0,53.0,4.0,7
Enzo Fernandez,CHE,M,CM,88.0,110.0,32.0,18.0,101.0,-19.0,15,53.0,280.0,114.0,32.0,1.0,7
Dan Burn,NEW,D,LB,88.0,109.0,16.0,0.0,93.5,-34.5,13,88.0,102.0,31.0,8.0,2.0,5
Oleksandr Zinchenko,ARS,D,LB,84.0,122.25,29.0,0.0,94.75,-25.5,13,84.0,237.0,103.0,17.0,2.0,6
Issa Kabore,LUT,D,WB,83.0,47.0,2.0,0.0,81.5,-48.5,11,83.0,134.0,27.0,31.0,8.0,4
Harry Toffolo,NOT,D,LB,83.0,81.0,11.0,10.0,88.5,-43.5,10,62.0,98.0,24.0,28.0,6.0,4
Lewis Dunk,BHA,D,CB,81.0,40.75,47.0,0.0,102.25,-71.5,16,81.0,68.0,88.0,3.0,1.0,7
Michael Olise,CRY,M,RW,81.0,108.5,15.0,10.0,81.5,-6.0,6,33.0,94.0,8.0,30.0,2.0,1
Josko Gvardiol,MCI,D,LB,78.0,76.5,15.0,0.0,94.0,-35.5,13,78.0,188.0,53.0,15.0,1.0,4
Vitinho,BUR,D,LB,78.0,17.75,3.0,0.0,50.75,-45.0,12,78.0,130.0,26.0,18.0,0.0,5
Johann Gudmundsson,BUR,M,RW,77.0,48.0,12.0,18.0,52.5,-5.5,7,33.0,96.0,20.0,30.0,3.0,2
Matty Cash,AVL,D,RB,76.0,90.75,8.0,0.0,95.75,-50.0,14,76.0,160.0,29.0,11.0,2.0,6
Connor Roberts,BUR,D,RB,76.0,-11.5,11.0,0.0,29.0,-47.5,8,76.0,105.0,35.0,9.0,2.0,4
Levi Colwill,CHE,D,CB,76.0,118.0,15.0,0.0,116.5,-39.5,16,76.0,115.0,43.0,10.0,0.0,7
Marcus Tavernier,BOU,M,RW,76.0,133.5,11.0,22.0,110.5,-12.0,13,44.0,228.0,25.0,43.0,1.0,6
Ross Barkley,LUT,M,CM,74.0,99.0,19.0,11.0,90.0,-13.0,11,44.0,108.0,43.0,16.0,0.0,5
Billy Gilmour,BHA,M,DM,74.0,72.0,15.0,15.0,61.0,-9.0,13,38.0,163.0,90.0,22.0,1.0,5
Dwight McNeil,EVE,M,LW,73.0,157.0,16.0,20.0,121.5,-12.5,14,43.0,237.0,29.0,80.0,8.0,7
Luke Shaw,MUN,D,LB,71.0,57.0,9.0,13.0,67.0,-28.0,8,53.0,71.0,25.0,17.0,0.0,3
Marc Cucurella,CHE,D,RB,67.0,24.75,9.0,0.0,55.25,-36.5,7,67.0,105.0,23.0,5.0,0.0,3
Ezri Konsa,AVL,D,CB,66.0,77.75,28.0,0.0,108.25,-61.5,19,66.0,62.0,41.0,3.0,0.0,8
Rayan Ait-Nouri,WOL,D,LB,65.0,52.5,11.0,6.0,94.0,-47.5,11,59.0,143.0,37.0,15.0,0.0,5
Pau Torres,AVL,D,CB,64.0,87.5,46.0,0.0,86.5,-43.0,17,64.0,83.0,81.0,4.0,0.0,8
Will Hughes,CRY,M,DM,63.0,52.5,13.0,15.0,63.0,-14.5,11,39.0,102.0,26.0,23.0,2.0,5
Saman Ghoddos,BRF,F,RB,63.0,27.5,9.0,7.0,31.5,-4.0,6,39.0,69.0,10.0,16.0,1.0,2
Virgil van Dijk,LIV,D,CB,61.0,210.75,28.0,0.0,181.75,-31.0,16,61.0,46.0,66.0,0.0,0.0,6
Jayden Bogle,SHU,D,WB,61.0,33.5,2.0,0.0,63.5,-56.0,12,61.0,109.0,13.0,14.0,2.0,4
Joel Veltman,BHA,D,RB,61.0,13.25,19.0,0.0,50.25,-37.0,8,61.0,107.0,36.0,6.0,0.0,3
Conor Gallagher,CHE,M,CM,59.0,171.5,16.0,18.0,153.0,-15.5,17,37.0,310.0,73.0,20.0,2.0,7
Bernardo Silva,MCI,M,CM,58.0,182.5,20.0,4.0,123.0,-11.5,14,45.0,371.0,83.0,33.0,6.0,4
Nathan Patterson,EVE,D,RB,57.0,44.75,0.0,0.0,59.25,-33.5,9,57.0,101.0,17.0,17.0,3.0,3
Solly March,BHA,M,RW,57.0,93.0,8.0,12.0,65.0,-7.0,7,39.0,145.0,24.0,21.0,0.0,4
Phil Foden,MCI,M,RM,56.0,194.0,9.0,20.0,145.5,-10.5,16,31.0,407.0,59.0,31.0,1.0,6
Joseph Gomez,LIV,D,CB,56.0,88.75,5.0,0.0,72.75,-8.0,9,56.0,98.0,25.0,11.0,2.0,2
Adam Smith,BOU,D,RB,54.0,62.0,3.0,0.0,46.5,-16.5,7,54.0,53.0,24.0,9.0,5.0,1
Ola Aina,NOT,D,LM,54.0,38.25,5.0,0.0,60.25,-51.0,11,54.0,78.0,24.0,10.0,1.0,3
Kenny Tete,FUL,D,RB,54.0,39.0,5.0,0.0,46.5,-29.5,7,54.0,88.0,27.0,13.0,4.0,2
Willy Boly,NOT,D,CB,53.0,117.5,8.0,0.0,120.0,-30.5,11,53.0,33.0,20.0,1.0,0.0,3
Toti,WOL,D,CB,53.0,64.0,13.0,0.0,80.5,-36.5,13,53.0,36.0,37.0,4.0,0.0,6
Thiago Silva,CHE,D,CB,52.0,82.25,36.0,0.0,104.75,-56.5,17,52.0,44.0,45.0,1.0,0.0,8
Joachim Andersen,CRY,D,CB,50.0,170.0,45.0,0.0,179.0,-66.0,19,50.0,74.0,81.0,14.0,6.0,8
Sergio Reguilon,MUN,D,LB,49.0,25.5,4.0,6.0,30.0,-16.5,4,43.0,117.0,17.0,23.0,1.0,3
Victor Lindelof,MUN,D,CB,49.0,54.5,6.0,0.0,41.0,-21.5,9,49.0,76.0,25.0,1.0,0.0,5
Nayef Aguerd,WHU,D,CB,49.0,63.0,36.0,0.0,108.5,-67.5,16,49.0,30.0,38.0,1.0,0.0,7
Gabriel Martinelli,ARS,M,LW,47.0,138.5,3.0,26.0,126.5,-14.0,15,33.0,426.0,33.0,65.0,5.0,6
Martin Odegaard,ARS,M,RM,47.0,203.0,17.0,10.0,153.0,-16.0,16,37.0,406.0,95.0,31.0,4.0,6
Ryan Giles,LUT,M,WB,47.0,32.5,3.0,11.0,32.5,0.0,5,35.0,74.0,11.0,35.0,5.0,2
Nathan Collins,BRF,D,CB,47.0,81.25,17.0,0.0,96.75,-43.5,12,47.0,45.0,38.0,1.0,0.0,5
Nathan Ake,MCI,D,CB,45.0,78.75,7.0,0.0,61.25,-22.5,10,45.0,87.0,43.0,3.0,0.0,3
Kristoffer Ajer,BRF,D,CB,45.0,41.0,5.0,0.0,61.0,-32.0,8,45.0,67.0,24.0,6.0,1.0,4
Marc Guehi,CRY,D,CB,44.0,75.0,40.0,0.0,98.0,-53.0,18,44.0,40.0,37.0,2.0,0.0,8
Cristian Romero,TOT,D,CB,43.0,123.0,37.0,0.0,106.0,-33.0,12,43.0,72.0,76.0,1.0,0.0,6
Gabriel Magalhaes,ARS,D,CB,40.0,102.0,22.0,0.0,94.5,-32.5,15,40.0,69.0,42.0,2.0,0.0,5
George Baldock,SHU,D,RM,40.0,38.25,1.0,0.0,62.75,-38.5,8,40.0,82.0,21.0,13.0,3.0,5
Ethan Pinnock,BRF,D,CB,40.0,158.5,18.0,0.0,188.0,-57.5,18,40.0,74.0,44.0,3.0,0.0,8
Joe Rothwell,BOU,M,DM,39.0,9.5,7.0,4.0,10.0,-0.5,2,11.0,23.0,6.0,6.0,0.0,1
Ryan Christie,BOU,M,AM,39.0,140.0,8.0,10.0,135.5,-12.5,16,28.0,212.0,53.0,25.0,2.0,7
Pervis Estupinan,BHA,D,LB,38.0,69.5,9.0,0.0,57.5,-19.0,5,38.0,123.0,39.0,19.0,5.0,4
James Milner,BHA,M,RB,38.0,38.5,4.0,0.0,35.0,-4.5,7,38.0,104.0,34.0,14.0,2.0,3
Malo Gusto,CHE,D,WB,38.0,58.75,5.0,0.0,50.75,-25.0,8,38.0,143.0,22.0,19.0,1.0,4
Axel Disasi,CHE,D,CB,38.0,76.25,20.0,0.0,95.25,-53.0,17,38.0,74.0,62.0,5.0,0.0,7
Cole Palmer,CHE,M,RW,37.0,154.5,6.0,10.0,95.0,-20.5,11,26.0,230.0,57.0,14.0,2.0,3
Matheus Cunha,WOL,F,FW,36.0,200.5,3.0,1.0,154.5,-23.0,19,36.0,233.0,33.0,10.0,0.0,8
Christian Eriksen,MUN,M,DM,36.0,45.5,8.0,8.0,33.0,-3.5,6,17.0,75.0,21.0,18.0,1.0,3
Pablo Sarabia,WOL,M,FW,36.0,80.0,6.0,7.0,63.5,-4.5,7,15.0,75.0,13.0,16.0,1.0,2
Micky van de Ven,TOT,D,CB,35.0,61.75,25.0,0.0,48.75,-21.0,10,35.0,22.0,34.0,0.0,0.0,4
Serge Aurier,NOT,D,RM,35.0,53.5,6.0,0.0,68.5,-35.0,9,35.0,108.0,40.0,19.0,4.0,4
Son Heung-Min,TOT,F,LW,35.0,272.5,2.0,0.0,160.5,-17.0,19,35.0,333.0,60.0,11.0,0.0,8
Aaron Wan-Bissaka,MUN,D,RB,34.0,52.5,2.0,0.0,61.5,-28.0,8,34.0,76.0,23.0,4.0,0.0,2
Vitaly Janelt,BRF,M,CM,33.0,109.0,6.0,0.0,102.0,-9.0,17,33.0,201.0,57.0,25.0,4.0,8
Tim Ream,FUL,D,CB,32.0,42.25,16.0,0.0,70.75,-56.5,13,32.0,29.0,56.0,1.0,0.0,6
Boubacar Kamara,AVL,M,DM,32.0,89.5,25.0,0.0,102.5,-24.0,16,32.0,116.0,68.0,0.0,0.0,8
Joao Gomes,WOL,M,CM,32.0,74.5,19.0,3.0,85.5,-19.0,15,23.0,112.0,36.0,10.0,3.0,7
Amari'i Bell,LUT,D,CB,32.0,46.0,9.0,0.0,89.0,-49.0,12,32.0,42.0,27.0,5.0,0.0,5
Auston Trusty,SHU,D,CB,32.0,24.75,1.0,0.0,79.25,-60.5,12,32.0,33.0,12.0,1.0,1.0,5
Lloyd Kelly,BOU,D,CB,31.0,18.75,6.0,0.0,37.25,-30.5,7,31.0,44.0,24.0,6.0,0.0,5
Bruno Guimaraes,NEW,M,CM,31.0,148.0,29.0,0.0,147.0,-27.0,18,31.0,264.0,100.0,12.0,1.0,8
Takehiro Tomiyasu,ARS,D,LB,31.0,37.75,2.0,0.0,25.25,-12.5,5,31.0,125.0,39.0,7.0,1.0,2
Yves Bissouma,TOT,M,DM,31.0,76.0,30.0,0.0,99.5,-29.5,14,31.0,230.0,80.0,0.0,0.0,6
Moussa Niakhate,NOT,D,CB,31.0,9.75,2.0,0.0,51.25,-47.5,10,31.0,50.0,22.0,6.0,0.0,3
Chiedozie Ogbene,LUT,F,AM,30.0,74.0,3.0,0.0,63.5,-4.5,10,30.0,197.0,14.0,36.0,1.0,5
Igor Julio dos Santos de Paulo,BHA,D,CB,30.0,13.25,9.0,0.0,42.25,-29.0,7,30.0,23.0,33.0,0.0,0.0,4
Jean-Ricner Bellegarde,WOL,M,AM,29.0,33.0,4.0,5.0,29.5,-2.5,5,9.0,53.0,12.0,12.0,0.0,2
Fabian Schar,NEW,D,CB,29.0,102.0,28.0,0.0,118.0,-59.0,18,29.0,64.0,57.0,2.0,0.0,8
Reece James,CHE,D,WB,29.0,24.5,6.0,0.0,43.0,-25.5,4,29.0,73.0,14.0,17.0,2.0,2
Alex Scott,BOU,M,DM,29.0,23.5,4.0,5.0,18.5,-2.0,3,9.0,22.0,4.0,6.0,0.0,2
Max Kilman,WOL,D,CB,29.0,90.75,18.0,0.0,152.25,-73.5,19,29.0,51.0,55.0,5.0,1.0,8
Christian Norgaard,BRF,M,CM,28.0,114.0,11.0,0.0,114.5,-18.5,17,28.0,219.0,86.0,15.0,2.0,8
Nicolas Jackson,CHE,F,FW,28.0,130.5,0.0,0.0,102.0,-31.5,15,28.0,190.0,22.0,2.0,0.0,7
Valentino Livramento,NEW,D,LB,28.0,30.75,2.0,0.0,34.75,-16.0,5,28.0,49.0,12.0,4.0,2.0,2
William Saliba,ARS,D,CB,27.0,108.75,13.0,0.0,92.25,-42.5,19,27.0,48.0,65.0,0.0,0.0,8
Luke Thomas,SHU,D,WB,27.0,-10.25,1.0,0.0,45.75,-56.0,9,27.0,81.0,31.0,13.0,2.0,4
Craig Dawson,WOL,D,CB,27.0,82.0,20.0,0.0,127.0,-63.0,17,27.0,32.0,35.0,1.0,0.0,8
Dominic Solanke,BOU,F,FW,27.0,208.0,0.0,0.0,121.5,-27.5,18,27.0,244.0,25.0,5.0,3.0,8
Harrison Reed,FUL,M,RM,27.0,39.0,13.0,2.0,41.0,-5.0,9,23.0,93.0,26.0,11.0,2.0,4
Ameen Al Dakhil,BUR,D,CB,26.0,-8.0,10.0,0.0,39.0,-47.0,9,26.0,37.0,29.0,2.0,0.0,4
Willian,FUL,F,LW,26.0,106.0,7.0,11.0,74.0,-7.0,10,20.0,260.0,60.0,26.0,2.0,6
Ruben Dias,MCI,D,CB,26.0,51.75,17.0,0.0,76.75,-43.0,14,26.0,86.0,74.0,7.0,2.0,5
John McGinn,AVL,M,LW,26.0,185.5,6.0,14.0,150.0,-25.5,19,24.0,226.0,89.0,26.0,5.0,8
Anel Ahmedhodzic,SHU,D,CB,25.0,36.25,4.0,0.0,101.75,-81.5,13,25.0,53.0,14.0,3.0,0.0,6
James Tarkowski,EVE,D,CB,25.0,193.75,21.0,0.0,199.75,-59.0,19,25.0,68.0,55.0,1.0,1.0,9
Lucas Paqueta,WHU,M,DM,25.0,174.5,6.0,0.0,157.0,-34.5,17,25.0,230.0,96.0,13.0,2.0,7
Leandro Trossard,ARS,M,LW,25.0,63.5,3.0,11.0,39.5,-2.0,5,19.0,99.0,21.0,18.0,0.0,2
Joao Palhinha,FUL,M,CM,25.0,113.0,23.0,0.0,106.5,-21.5,15,25.0,99.0,35.0,1.0,1.0,6
Josh Cullen,BUR,M,CM,24.0,36.0,22.0,1.0,42.5,-12.5,10,23.0,100.0,39.0,3.0,0.0,5
Ben Mee,BRF,D,CB,24.0,50.5,6.0,0.0,59.0,-31.5,8,24.0,42.0,31.0,4.0,1.0,3
Aaron Hickey,BRF,D,RB,23.0,4.0,3.0,0.0,28.5,-36.5,9,23.0,76.0,21.0,5.0,0.0,4
Moussa Diaby,AVL,F,AM,23.0,147.5,1.0,0.0,93.0,-8.5,14,23.0,202.0,34.0,18.0,3.0,6
Dejan Kulusevski,TOT,M,RW,23.0,216.5,3.0,13.0,184.0,-30.5,19,19.0,486.0,71.0,35.0,8.0,8
Manuel Akanji,MCI,D,CB,22.0,57.0,12.0,0.0,63.5,-44.5,13,22.0,128.0,49.0,3.0,0.0,7
Rodri,MCI,M,DM,22.0,147.5,17.0,2.0,115.5,-17.0,14,22.0,272.0,110.0,5.0,0.0,6
Mike Tresor,BUR,F,LW,22.0,16.0,2.0,9.0,17.5,-1.5,4,13.0,55.0,4.0,15.0,0.0,2
Joelinton,NEW,M,LM,21.0,113.0,15.0,0.0,105.5,-19.5,12,21.0,198.0,42.0,0.0,0.0,6
Zeki Amdouni,BUR,F,FW,21.0,108.5,2.0,0.0,96.0,-11.5,17,21.0,186.0,26.0,7.0,0.0,7
Kurt Zouma,WHU,D,CB,21.0,71.5,17.0,0.0,98.0,-54.5,16,21.0,13.0,24.0,0.0,0.0,6
Emerson Royal,WHU,D,LB,21.0,20.0,9.0,0.0,44.5,-34.5,6,21.0,34.0,12.0,2.0,1.0,1
Nathaniel Clyne,CRY,D,RB,21.0,11.25,0.0,0.0,21.25,-16.0,6,21.0,35.0,5.0,0.0,0.0,3
Jonny Evans,MUN,D,CB,21.0,52.75,3.0,0.0,50.25,-22.5,8,21.0,12.0,12.0,0.0,0.0,2
Dara O'Shea,BUR,D,CB,20.0,82.75,14.0,0.0,126.25,-69.5,14,20.0,48.0,51.0,5.0,1.0,6
Tom Lockyer,LUT,D,CB,20.0,62.0,17.0,0.0,105.0,-60.0,13,20.0,32.0,37.0,1.0,0.0,6
Jefferson Lerma,CRY,M,DM,19.0,96.5,14.0,0.0,97.5,-10.0,14,19.0,151.0,46.0,10.0,2.0,6
Alexander Isak,NEW,F,FW,19.0,136.5,0.0,0.0,76.5,-3.0,12,19.0,114.0,16.0,2.0,0.0,5
Scott McKenna,NOT,D,CB,18.0,35.25,1.0,0.0,41.25,-12.0,5,18.0,11.0,10.0,0.0,0.0,2
Harry Maguire,MUN,D,CB,18.0,91.0,17.0,0.0,81.5,-22.5,9,18.0,41.0,39.0,3.0,0.0,5
Jan-Paul van Hecke,BHA,D,CB,18.0,50.5,12.0,0.0,89.0,-38.5,12,18.0,39.0,60.0,1.0,1.0,5
Jarrod Bowen,WHU,M,RW,18.0,234.5,0.0,8.0,138.0,-18.5,18,18.0,252.0,24.0,31.0,0.0,7
Marvelous Nakamba,LUT,M,CM,18.0,49.0,14.0,0.0,61.0,-12.0,13,18.0,101.0,36.0,4.0,1.0,6
Evan Ferguson,BHA,F,FW,18.0,79.0,0.0,0.0,45.0,-11.0,10,18.0,93.0,8.0,0.0,0.0,5
Mateo Kovacic,MCI,M,CM,18.0,32.5,10.0,0.0,37.0,-7.5,8,18.0,154.0,40.0,0.0,0.0,3
Calvin Bassey,FUL,D,CB,18.0,33.25,9.0,0.0,71.75,-50.5,11,18.0,14.0,11.0,0.0,0.0,4
Mohamed Salah,LIV,F,RW,17.0,304.5,3.0,0.0,180.0,-25.5,19,17.0,412.0,78.0,19.0,4.0,7
Thomas Partey,ARS,M,RB,17.0,26.5,7.0,0.0,27.0,-1.5,3,17.0,59.0,28.0,2.0,2.0,2
Sofyan Amrabat,MUN,M,LB,17.0,25.0,6.0,0.0,31.0,-7.0,6,17.0,79.0,47.0,4.0,0.0,4
Anthony Gordon,NEW,M,LW,16.0,203.5,2.0,4.0,131.0,-25.5,18,13.0,296.0,39.0,22.0,4.0,8
Sean Longstaff,NEW,M,RM,16.0,59.5,6.0,0.0,45.5,-16.0,11,16.0,104.0,41.0,7.0,1.0,4
Diego Carlos,AVL,D,CB,16.0,29.75,15.0,0.0,41.25,-23.5,8,16.0,8.0,18.0,0.0,0.0,2
Ben Osborn,SHU,M,LW,15.0,0.0,1.0,0.0,3.0,-3.0,2,15.0,43.0,5.0,7.0,1.0,1
Murillo,NOT,M,CB,14.0,71.5,13.0,0.0,71.5,-8.0,13,14.0,29.0,31.0,0.0,0.0,5
Jairo Riedewald,CRY,M,CM,14.0,3.0,4.0,2.0,3.0,-1.0,2,6.0,19.0,2.0,3.0,0.0,True
Reece Burke,LUT,D,CB,14.0,39.0,5.0,0.0,57.5,-25.5,7,14.0,54.0,23.0,7.0,1.0,4
Albert Sambi Lokonga,LUT,M,CM,14.0,21.0,6.0,2.0,14.5,-0.5,4,8.0,21.0,4.0,6.0,0.0,1
Pierre-Emile Hojbjerg,TOT,M,DM,13.0,20.5,10.0,0.0,22.5,-3.0,5,13.0,90.0,37.0,3.0,0.0,3
Issa Diop,FUL,D,CB,13.0,27.5,10.0,0.0,47.0,-37.5,9,13.0,12.0,45.0,0.0,0.0,4
Neco Williams,NOT,D,LM,13.0,45.75,4.0,0.0,54.75,-16.0,4,13.0,29.0,3.0,4.0,2.0,1
Sven Botman,NEW,D,CB,13.0,56.5,10.0,0.0,42.0,-14.5,7,13.0,9.0,9.0,0.0,0.0,3
Giovani Lo Celso,TOT,M,DM,13.0,40.5,8.0,1.0,23.0,-0.5,3,11.0,77.0,19.0,2.0,0.0,2
Aaron Cresswell,WHU,D,LB,12.0,3.5,2.0,0.0,5.5,-2.0,1,12.0,14.0,8.0,2.0,0.0,True
Alex Iwobi,EVE,M,LM,12.0,123.5,0.0,6.0,100.0,-12.5,13,12.0,206.0,42.0,21.0,2.0,6
Luis Diaz,LIV,F,LW,10.0,94.0,1.0,0.0,83.0,-13.0,12,10.0,216.0,30.0,4.0,1.0,5
Abdoulaye Doucoure,EVE,M,FW,10.0,175.0,0.0,0.0,122.0,-18.0,16,10.0,271.0,46.0,15.0,1.0,9
Neal Maupay,EVE,F,FW,10.0,70.0,3.0,1.0,45.5,-5.5,7,10.0,107.0,10.0,2.0,1.0,4
Brennan Johnson,NOT,F,FW,9.0,95.5,0.0,0.0,71.5,-3.0,11,9.0,158.0,21.0,14.0,1.0,4
Ibrahima Konate,LIV,D,CB,9.0,84.75,6.0,0.0,74.75,-14.0,8,9.0,23.0,45.0,0.0,0.0,3
Alexis Mac Allister,LIV,M,CM,9.0,68.5,9.0,0.0,72.5,-22.0,13,9.0,168.0,75.0,2.0,0.0,6
Ollie Watkins,AVL,F,FW,9.0,253.5,0.0,0.0,138.0,-19.5,19,9.0,241.0,22.0,3.0,0.0,8
Jarrad Branthwaite,EVE,D,CB,8.0,108.5,3.0,0.0,130.5,-52.0,16,8.0,22.0,29.0,1.0,0.0,8
Edson Alvarez,WHU,M,DM,8.0,57.0,6.0,0.0,66.5,-19.5,15,8.0,66.0,34.0,3.0,0.0,6
Cameron Archer,SHU,F,FW,7.0,104.5,0.0,0.0,83.0,-17.5,14,7.0,168.0,10.0,2.0,0.0,7
