Player,Team,Position,LiveRkOv,Opponent,FPTS,FP/G,ROS %,GP,MIN,G,KP,AT,SOT,TKW,DIS,YC,RC,ACNC,INT,CLR,COS,BS,AER,PKM,PKD,OG,GAO,CS,GW,ros,GS,PTS,DPT,OFF,PKG,Ghost Points,Negative Fpts
Bukayo Saka,ARS,M,1,ARS 1<br/>@CRY 0 F,7.0,7.0,100%,1,88,0,2,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,2,,1,0,0,0,0,6.0,-0.5
Declan Rice,ARS,M,67,ARS 1<br/>@CRY 0 F,6.5,6.5,98%,1,90,0,1,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,1,2,,1,0,0,0,0,5.5,0.0
Gabriel Martinelli,ARS,M,120,ARS 1<br/>@CRY 0 F,4.5,4.5,100%,1,69,0,0,0,0,1,1,0,0,0,2,0,0,0,2,0,0,0,0,1,2,,1,0,1,0,0,3.5,-0.5
Gabriel Magalhaes,ARS,D,148,ARS 1<br/>@CRY 0 F,3.25,3.25,87%,1,19,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,,0,0,1,0,0,3.25,0.0
Kai Havertz,ARS,F,165,ARS 1<br/>@CRY 0 F,3.0,3.0,82%,1,90,0,1,0,0,0,0,1,0,0,1,0,0,0,4,0,0,0,0,1,2,,1,0,6,0,0,3.0,-2.0
Jorginho,ARS,M,347,ARS 1<br/>@CRY 0 F,1.0,1.0,4%,1,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,0,0,0,0,0,1.0,0.0
Takehiro Tomiyasu,ARS,D,316,ARS 1<br/>@CRY 0 F,0.5,0.5,5%,1,66,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,1,2,,1,0,8,0,0,-5.5,-7.5
Oleksandr Zinchenko,ARS,D,158,ARS 1<br/>@CRY 0 F,0.0,0.0,95%,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,0,0,0,1,0,0.0,0.0
Jakub Kiwior,ARS,D,361,ARS 1<br/>@CRY 0 F,0.0,0.0,2%,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,0,0,0,0,0,0.0,0.0
Bukayo Saka,ARS,M,1,FUL 2<br/>@ARS 2 F,28.0,28.0,100%,1,90,1,4,0,2,0,0,0,0,1,0,0,6,0,0,0,0,0,2,0,3,,1,1,0,0,1,19.0,0.0
Fabio Vieira,ARS,M,137,FUL 2<br/>@ARS 2 F,18.5,18.5,41%,1,33,0,1,2,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,3,,0,1,1,1,0,6.5,-0.5
Eddie Nketiah,ARS,F,55,FUL 2<br/>@ARS 2 F,12.0,12.0,84%,1,45,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,3,,0,1,1,0,0,3.0,0.0
Leandro Trossard,ARS,M,153,FUL 2<br/>@ARS 2 F,7.5,7.5,90%,1,45,0,3,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,3,,1,0,0,0,0,7.5,-0.5
Gabriel Martinelli,ARS,M,120,FUL 2<br/>@ARS 2 F,7.0,7.0,100%,1,90,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,3,,1,0,0,0,0,7.0,0.0
Martin Odegaard,ARS,M,18,FUL 2<br/>@ARS 2 F,6.5,6.5,100%,1,83,0,0,0,2,1,3,0,0,0,0,0,3,0,0,0,0,0,1,0,3,,1,0,2,0,0,6.5,-1.5
Thomas Partey,ARS,M,182,FUL 2<br/>@ARS 2 F,6.0,6.0,33%,1,55,0,0,0,0,1,1,0,0,0,1,1,4,0,1,0,0,0,1,0,3,,1,0,0,0,0,6.0,-0.5
Declan Rice,ARS,M,67,FUL 2<br/>@ARS 2 F,5.5,5.5,98%,1,88,0,0,0,0,4,1,0,0,0,2,2,0,0,0,0,0,0,2,0,3,,1,0,0,0,0,5.5,-0.5
Kai Havertz,ARS,F,165,FUL 2<br/>@ARS 2 F,4.5,4.5,82%,1,55,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,,1,0,1,2,0,4.5,0.0
Ben White,ARS,D,27,FUL 2<br/>@ARS 2 F,3.75,3.75,98%,1,90,0,2,0,0,0,0,0,0,1,0,3,0,1,1,0,0,0,2,0,3,,1,0,0,0,0,3.75,-4.0
Oleksandr Zinchenko,ARS,D,158,FUL 2<br/>@ARS 2 F,3.0,3.0,95%,1,33,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,,0,0,0,0,0,3.0,-2.0
Gabriel Jesus,ARS,F,128,FUL 2<br/>@ARS 2 F,2.5,2.5,100%,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,,0,0,0,1,0,2.5,0.0
Jakub Kiwior,ARS,D,361,FUL 2<br/>@ARS 2 F,2.5,2.5,2%,1,90,0,0,0,1,2,0,0,0,0,0,2,0,1,1,0,0,0,2,0,3,,1,0,1,0,0,2.5,-4.0
William Saliba,ARS,D,98,FUL 2<br/>@ARS 2 F,1.75,1.75,98%,1,90,0,1,0,0,0,1,0,0,0,2,1,0,0,2,0,0,0,2,0,3,,1,0,0,0,0,1.75,-4.5
Jorginho,ARS,M,347,FUL 2<br/>@ARS 2 F,1.0,1.0,4%,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,,0,0,0,0,0,1.0,0.0
Bukayo Saka,ARS,M,1,MUN 1<br/>@ARS 3 F,19.0,19.0,100%,1,90,0,5,1,1,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,4,,1,1,4,1,0,13.0,-2.0
Declan Rice,ARS,M,67,MUN 1<br/>@ARS 3 F,14.5,14.5,98%,1,90,1,0,0,1,0,0,0,0,0,2,1,0,0,3,0,0,0,1,0,4,,1,1,0,0,0,5.5,0.0
Martin Odegaard,ARS,M,18,MUN 1<br/>@ARS 3 F,14.0,14.0,100%,1,88,1,0,0,2,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,4,,1,1,1,0,0,5.0,-1.0
Gabriel Martinelli,ARS,M,120,MUN 1<br/>@ARS 3 F,14.0,14.0,100%,1,88,0,1,1,0,0,2,0,0,2,0,0,5,0,0,0,0,0,1,0,4,,1,1,0,1,0,8.0,-1.0
Gabriel Jesus,ARS,F,128,MUN 1<br/>@ARS 3 F,14.0,14.0,100%,1,13,1,1,0,1,0,1,1,0,0,0,0,3,0,1,0,0,0,0,0,4,,0,1,5,0,0,5.0,-2.5
Eddie Nketiah,ARS,F,55,MUN 1<br/>@ARS 3 F,8.5,8.5,84%,1,75,0,3,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,4,,1,0,0,0,0,8.5,0.0
Fabio Vieira,ARS,M,137,MUN 1<br/>@ARS 3 F,8.0,8.0,41%,1,12,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,0,1,0,0,0,2.0,0.0
Ben White,ARS,D,27,MUN 1<br/>@ARS 3 F,7.5,7.5,98%,1,90,0,2,0,0,1,0,0,0,0,0,2,0,3,1,0,0,0,1,0,4,,1,0,0,0,0,7.5,-2.0
Gabriel Magalhaes,ARS,D,148,MUN 1<br/>@ARS 3 F,6.25,6.25,87%,1,90,0,0,0,0,2,0,0,0,0,2,1,0,2,2,0,0,0,1,0,4,,1,0,1,0,0,6.25,-2.0
William Saliba,ARS,D,98,MUN 1<br/>@ARS 3 F,5.5,5.5,98%,1,90,0,0,0,0,0,0,0,0,0,2,2,1,1,3,0,0,0,1,0,4,,1,0,0,0,0,5.5,-2.0
Kai Havertz,ARS,F,165,MUN 1<br/>@ARS 3 F,4.0,4.0,82%,1,76,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,4,,1,0,2,0,0,4.0,0.0
Oleksandr Zinchenko,ARS,D,158,MUN 1<br/>@ARS 3 F,1.0,1.0,95%,1,75,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,,1,0,0,0,0,1.0,-2.0
Takehiro Tomiyasu,ARS,D,316,MUN 1<br/>@ARS 3 F,1.0,1.0,5%,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,,0,0,0,0,0,1.0,0.0
Reiss Nelson,ARS,F,325,MUN 1<br/>@ARS 3 F,1.0,1.0,4%,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,,0,0,1,0,0,1.0,0.0
Jorginho,ARS,M,347,MUN 1<br/>@ARS 3 F,0.5,0.5,4%,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,,0,0,0,0,0,0.5,0.0
Leandro Trossard,ARS,M,153,ARS 1<br/>@EVE 0 F,21.0,21.0,90%,1,65,1,2,0,1,2,0,0,0,0,2,1,1,0,0,0,0,0,0,1,5,,0,1,0,2,0,11.0,0.0
Ben White,ARS,D,27,ARS 1<br/>@EVE 0 F,15.25,15.25,98%,1,90,0,1,0,1,1,0,0,0,2,0,1,1,0,1,0,0,0,0,1,5,,1,0,0,0,0,9.25,0.0
Bukayo Saka,ARS,M,1,ARS 1<br/>@EVE 0 F,12.0,12.0,100%,1,90,0,1,1,0,1,2,0,0,1,0,2,2,0,0,0,0,0,0,1,5,,1,1,3,0,0,5.0,-1.0
Gabriel Magalhaes,ARS,D,148,ARS 1<br/>@EVE 0 F,11.5,11.5,87%,1,90,0,0,0,0,0,0,1,0,0,0,2,0,2,5,0,0,0,0,1,5,,1,0,4,0,0,5.5,-2.0
Martin Odegaard,ARS,M,18,ARS 1<br/>@EVE 0 F,10.5,10.5,100%,1,90,0,3,0,2,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,5,,1,0,0,0,0,9.5,-1.5
William Saliba,ARS,D,98,ARS 1<br/>@EVE 0 F,9.5,9.5,98%,1,90,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,1,5,,1,0,0,0,0,3.5,0.0
Oleksandr Zinchenko,ARS,D,158,ARS 1<br/>@EVE 0 F,9.5,9.5,95%,1,79,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,,1,0,0,0,0,3.5,-0.5
Declan Rice,ARS,M,67,ARS 1<br/>@EVE 0 F,9.0,9.0,98%,1,90,0,1,0,0,0,0,0,0,0,3,1,3,0,0,0,0,0,0,1,5,,1,0,1,0,0,8.0,0.0
Fabio Vieira,ARS,M,137,ARS 1<br/>@EVE 0 F,6.0,6.0,41%,1,79,0,0,0,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0,1,5,,1,0,1,0,0,5.0,0.0
Takehiro Tomiyasu,ARS,D,316,ARS 1<br/>@EVE 0 F,1.25,1.25,5%,1,9,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5,,0,0,1,0,0,1.25,0.0
Kai Havertz,ARS,F,165,ARS 1<br/>@EVE 0 F,0.5,0.5,82%,1,9,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,0,0,0,0,0,0.5,-0.5
Gabriel Jesus,ARS,F,128,ARS 1<br/>@EVE 0 F,0.0,0.0,100%,1,23,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,5,,0,0,2,0,0,0.0,-1.5
Gabriel Martinelli,ARS,M,120,ARS 1<br/>@EVE 0 F,-0.5,-0.5,100%,1,23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,1,0,0,0,0,-0.5,-0.5
Eddie Nketiah,ARS,F,55,ARS 1<br/>@EVE 0 F,-0.5,-0.5,84%,1,65,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,,1,0,1,2,0,-0.5,-0.5
Bukayo Saka,ARS,M,1,TOT 2<br/>@ARS 2 F,33.0,33.0,100%,1,88,1,4,1,2,3,3,0,0,1,1,0,2,0,1,0,0,0,2,0,6,,1,1,1,0,1,18.0,-1.5
Ben White,ARS,D,27,TOT 2<br/>@ARS 2 F,9.5,9.5,98%,1,90,0,0,1,1,0,1,0,0,1,2,4,0,1,0,0,0,0,2,0,6,,1,0,1,0,0,2.5,-4.5
Gabriel Jesus,ARS,F,128,TOT 2<br/>@ARS 2 F,6.0,6.0,100%,1,76,0,0,0,1,2,5,0,0,0,1,1,3,0,1,0,0,0,2,0,6,,1,0,3,1,0,6.0,-2.5
Martin Odegaard,ARS,M,18,TOT 2<br/>@ARS 2 F,4.5,4.5,100%,1,90,0,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,2,0,6,,1,0,5,0,0,4.5,-3.5
Gabriel Magalhaes,ARS,D,148,TOT 2<br/>@ARS 2 F,3.25,3.25,87%,1,90,0,0,0,0,0,0,0,0,0,3,1,0,0,4,0,0,0,2,0,6,,1,0,1,0,0,3.25,-4.0
Eddie Nketiah,ARS,F,55,TOT 2<br/>@ARS 2 F,3.0,3.0,84%,1,90,0,0,0,1,2,1,1,0,0,1,0,0,0,1,0,0,0,2,0,6,,1,0,4,1,0,3.0,-2.5
Reiss Nelson,ARS,F,325,TOT 2<br/>@ARS 2 F,2.5,2.5,4%,1,12,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6,,0,0,0,0,0,2.5,-0.5
Kai Havertz,ARS,F,165,TOT 2<br/>@ARS 2 F,2.0,2.0,82%,1,45,0,0,0,0,1,0,1,0,0,1,1,1,0,2,0,0,0,1,0,6,,0,0,4,0,0,2.0,-2.0
Emile Smith Rowe,ARS,M,327,TOT 2<br/>@ARS 2 F,2.0,2.0,9%,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,,0,0,0,0,0,2.0,0.0
Declan Rice,ARS,M,67,TOT 2<br/>@ARS 2 F,1.0,1.0,98%,1,45,0,0,0,0,0,1,0,0,0,0,2,0,0,3,0,0,0,1,0,6,,1,0,0,0,0,1.0,-0.5
Jorginho,ARS,M,347,TOT 2<br/>@ARS 2 F,1.0,1.0,4%,1,45,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,1,0,6,,0,0,0,0,0,1.0,-1.0
William Saliba,ARS,D,98,TOT 2<br/>@ARS 2 F,0.25,0.25,98%,1,90,0,0,0,0,1,0,0,0,0,0,1,0,2,1,0,0,0,2,0,6,,1,0,0,0,0,0.25,-4.0
Oleksandr Zinchenko,ARS,D,158,TOT 2<br/>@ARS 2 F,0.25,0.25,95%,1,90,0,0,0,0,2,0,0,0,0,1,1,0,0,1,0,0,0,2,0,6,,1,0,0,0,0,0.25,-4.0
Fabio Vieira,ARS,M,137,TOT 2<br/>@ARS 2 F,0.0,0.0,41%,1,45,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,6,,1,0,2,0,0,0.0,-1.0
Gabriel Jesus,ARS,F,133,@CHE Sat 9:30AM,15.5,15.5,,1,90,0,3,1,0,1,4,0,0,0,1,0,3,0,1,0,0,0,0,1,7,100%,1,0,0,0,0,9.5,-2.0
Gabriel Magalhaes,ARS,D,124,@CHE Sat 9:30AM,8.5,8.5,,1,90,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,7,85%,1,0,1,0,0,2.5,0.0
Jorginho,ARS,M,367,@CHE Sat 9:30AM,0.0,0.0,,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8%,0,0,0,0,0,0.0,0.0
Kai Havertz,ARS,F,152,@CHE Sat 9:30AM,9.0,9.0,,1,80,1,0,0,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,1,7,81%,1,1,5,0,1,0.0,-3.0
Reiss Nelson,ARS,F,343,@CHE Sat 9:30AM,2.0,2.0,,1,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3%,0,0,0,0,0,2.0,0.0
Eddie Nketiah,ARS,F,68,@CHE Sat 9:30AM,14.5,14.5,,1,68,0,0,1,0,0,0,0,0,0,1,1,4,0,3,0,1,0,0,1,7,83%,1,0,2,0,0,8.5,0.0
Martin Odegaard,ARS,M,19,@CHE Sat 9:30AM,34.0,34.0,,1,90,1,3,2,1,0,2,0,0,2,0,0,1,0,0,0,1,0,0,1,7,100%,1,2,0,0,1,12.0,-1.0
Declan Rice,ARS,M,63,@CHE Sat 9:30AM,7.0,7.0,,1,80,0,1,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,1,7,99%,1,0,0,0,0,6.0,0.0
Bukayo Saka,ARS,M,3,@CHE Sat 9:30AM,16.0,16.0,,1,75,1,0,0,2,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,7,100%,1,1,2,0,0,6.0,-0.5
William Saliba,ARS,D,92,@CHE Sat 9:30AM,8.0,8.0,,1,90,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,7,97%,1,0,0,0,0,2.0,0.0
Emile Smith Rowe,ARS,M,345,@CHE Sat 9:30AM,3.5,3.5,,1,8,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9%,0,0,0,0,0,3.5,-0.5
Takehiro Tomiyasu,ARS,D,335,@CHE Sat 9:30AM,0.25,0.25,,1,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,4%,0,0,0,0,0,0.25,0.0
Fabio Vieira,ARS,M,167,@CHE Sat 9:30AM,3.0,3.0,,1,13,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,34%,0,0,1,0,0,3.0,0.0
Ben White,ARS,D,28,@CHE Sat 9:30AM,27.5,27.5,,1,90,1,0,0,1,4,1,0,0,0,2,4,0,1,2,0,0,0,0,1,7,99%,1,1,2,0,0,11.5,-0.5
Oleksandr Zinchenko,ARS,D,134,@CHE Sat 9:30AM,17.5,17.5,,1,68,0,2,0,1,1,0,0,0,0,2,2,1,0,1,0,0,0,0,1,7,96%,1,0,0,0,0,11.5,0.0
Gabriel Martinelli,ARS,M,132,MCI 0<br/>@ARS 1 F,16.0,16.0,100%,1,45,1,1,0,2,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,8,,0,1,1,0,0,7.0,-0.5
Ben White,ARS,D,35,MCI 0<br/>@ARS 1 F,14.5,14.5,99%,1,90,0,2,0,0,3,0,0,0,0,0,2,1,0,0,0,0,0,0,1,8,,1,0,1,1,0,8.5,0.0
Gabriel Magalhaes,ARS,D,153,MCI 0<br/>@ARS 1 F,11.0,11.0,85%,1,90,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,1,8,,1,0,0,0,0,5.0,0.0
Declan Rice,ARS,M,64,MCI 0<br/>@ARS 1 F,10.5,10.5,99%,1,90,0,2,0,0,2,1,0,0,0,3,2,0,1,0,0,0,0,0,1,8,,1,0,0,0,0,9.5,-0.5
Oleksandr Zinchenko,ARS,D,167,MCI 0<br/>@ARS 1 F,10.0,10.0,96%,1,74,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,8,,1,0,0,0,0,4.0,0.0
William Saliba,ARS,D,107,MCI 0<br/>@ARS 1 F,8.5,8.5,97%,1,90,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,1,8,,1,0,0,0,0,2.5,0.0
Martin Odegaard,ARS,M,18,MCI 0<br/>@ARS 1 F,8.0,8.0,100%,1,90,0,2,0,0,2,2,0,0,0,1,0,1,0,0,0,0,0,0,1,8,,1,0,0,0,0,7.0,-1.0
Kai Havertz,ARS,F,192,MCI 0<br/>@ARS 1 F,7.5,7.5,81%,1,14,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,,0,1,0,0,0,1.5,-0.5
Gabriel Jesus,ARS,F,140,MCI 0<br/>@ARS 1 F,3.5,3.5,100%,1,90,0,0,0,0,3,3,1,0,0,1,1,3,0,0,0,0,0,0,1,8,,1,0,7,0,0,3.5,-3.5
Leandro Trossard,ARS,M,172,MCI 0<br/>@ARS 1 F,1.5,1.5,94%,1,45,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,,1,0,0,0,0,1.5,-0.5
Eddie Nketiah,ARS,F,68,MCI 0<br/>@ARS 1 F,0.5,0.5,83%,1,74,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,8,,1,0,1,1,0,0.5,-0.5
Thomas Partey,ARS,M,212,MCI 0<br/>@ARS 1 F,0.0,0.0,40%,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,,0,0,0,0,0,0.0,0.0
Takehiro Tomiyasu,ARS,D,335,MCI 0<br/>@ARS 1 F,0.0,0.0,4%,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,,0,0,0,0,0,0.0,0.0
Jorginho,ARS,M,383,MCI 0<br/>@ARS 1 F,-0.5,-0.5,8%,1,74,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,8,,1,0,4,0,0,-1.5,-2.5
Moussa Diaby,AVL,F,20,AVL 1<br/>@NEW 5 F,18.0,18.0,97%,1,86,1,2,0,2,1,4,0,0,0,0,0,2,0,0,0,0,0,4,0,1,,1,1,0,0,0,9.0,-2.0
Ollie Watkins,AVL,F,3,AVL 1<br/>@NEW 5 F,15.0,15.0,100%,1,90,0,2,1,1,1,2,0,0,0,0,2,2,1,0,0,0,0,5,0,1,,1,1,0,0,0,9.0,-1.0
Boubacar Kamara,AVL,M,109,AVL 1<br/>@NEW 5 F,5.0,5.0,16%,1,90,0,1,0,0,0,1,0,0,0,1,1,2,0,1,0,0,0,5,0,1,,1,0,4,0,0,5.0,-0.5
Douglas Luiz,AVL,M,48,AVL 1<br/>@NEW 5 F,3.5,3.5,97%,1,90,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,5,0,1,,1,0,4,0,0,3.5,-2.5
John McGinn,AVL,M,87,AVL 1<br/>@NEW 5 F,3.0,3.0,64%,1,63,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,,1,0,1,0,0,3.0,0.0
Youri Tielemans,AVL,M,365,AVL 1<br/>@NEW 5 F,2.0,2.0,34%,1,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,,0,0,0,0,0,2.0,0.0
Diego Carlos,AVL,D,308,AVL 1<br/>@NEW 5 F,1.25,1.25,4%,1,25,0,0,0,1,2,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,,0,0,0,0,0,1.25,-4.0
Philippe Coutinho,AVL,M,320,AVL 1<br/>@NEW 5 F,1.0,1.0,2%,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,,0,0,0,0,0,1.0,0.0
Tyrone Mings,AVL,D,394,AVL 1<br/>@NEW 5 F,0.25,0.25,16%,1,30,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2,0,1,,1,0,0,0,0,0.25,-4.0
Jaden Philogene-Bidace,AVL,M,644,AVL 1<br/>@NEW 5 F,0.0,0.0,0%,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,0,0,0,0,0,0.0,0.0
Pau Torres,AVL,D,209,AVL 1<br/>@NEW 5 F,-0.25,-0.25,58%,1,58,0,1,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,3,0,1,,0,0,2,0,0,-0.25,-6.0
