,team,ftx_position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),bs (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean)
1,ARS,F,3,7.07,0.21,0.85,0.18,0.32,0.76,0.24,0.0,0.0,0.59,0.38,0.06,0.0,0.12,0.0,0.0,0.59,0.21,2.18,0.5,0.06,0.0,0.0,0.59,1.0,13.89
32,LIV,M,5,7.06,0.04,1.3,0.17,0.3,1.21,0.19,0.04,0.17,1.02,0.7,0.17,0.0,0.09,0.0,0.0,0.3,0.13,1.96,0.13,0.0,0.0,0.0,0.53,1.0,15.53
23,CRY,M,7,7.02,0.03,1.31,0.03,0.47,1.12,0.14,0.0,0.19,1.04,1.1,0.28,0.0,0.0,0.0,0.0,0.42,0.03,1.56,0.03,0.0,0.0,0.0,0.47,1.0,14.85
54,WHU,D,7,6.8,0.07,0.54,0.15,0.15,0.91,0.1,0.03,0.29,1.25,3.9,0.79,0.0,0.01,0.0,1.74,0.1,0.21,1.18,0.03,0.0,0.0,0.0,0.47,1.0,16.44
39,MUN,D,9,6.65,0.06,0.94,0.14,0.11,0.81,0.23,0.0,0.33,0.93,2.89,0.44,0.0,0.0,0.03,1.41,0.2,0.2,1.6,0.13,0.0,0.0,0.0,0.54,1.0,10.42
25,EVE,F,5,6.51,0.2,0.6,0.0,1.16,0.4,0.0,0.0,0.0,0.16,0.76,0.0,0.0,0.0,0.0,0.0,0.44,0.2,0.64,0.36,0.0,0.0,0.0,0.56,1.0,13.97
12,BRF,D,7,6.18,0.01,0.44,0.02,0.06,0.94,0.22,0.0,0.14,1.06,3.56,0.44,0.0,0.0,0.0,1.26,0.23,0.04,1.28,0.07,0.0,0.0,0.0,0.49,1.0,12.07
10,BOU,F,4,6.15,0.32,0.71,0.06,0.82,0.32,0.18,0.0,0.21,0.29,1.06,0.06,0.0,0.0,0.0,0.0,0.12,0.38,1.82,0.35,0.0,0.0,0.0,0.53,1.0,12.45
45,NOT,D,9,6.15,0.03,0.45,0.05,0.18,1.15,0.21,0.05,0.18,1.05,3.45,0.68,0.0,0.0,0.0,1.28,0.21,0.08,1.88,0.09,0.0,0.0,0.0,0.38,1.0,12.54
47,NOT,M,7,6.1,0.03,0.77,0.05,0.25,1.16,0.34,0.0,0.16,1.03,1.45,0.34,0.0,0.0,0.0,0.0,0.27,0.05,2.19,0.05,0.0,0.0,0.0,0.41,1.0,11.73
33,LUT,D,7,5.84,0.06,0.42,0.09,0.12,1.29,0.2,0.0,0.24,1.27,3.18,0.7,0.0,0.0,0.02,1.86,0.0,0.09,1.41,0.02,0.0,0.0,0.0,0.3,2.0,13.29
6,BHA,D,7,5.84,0.07,0.7,0.16,0.21,1.03,0.3,0.0,0.23,0.93,2.52,0.77,0.0,0.0,0.0,1.85,0.0,0.23,1.69,0.03,0.0,0.0,0.0,0.61,1.0,10.95
34,LUT,F,4,5.83,0.18,1.02,0.04,0.44,0.58,0.09,0.0,0.13,0.31,1.27,0.07,0.0,0.0,0.0,0.0,0.0,0.22,1.24,0.51,0.09,0.0,0.0,0.4,2.0,13.99
50,SHU,M,6,5.79,0.06,0.86,0.03,0.35,1.22,0.24,0.0,0.22,0.78,1.6,0.25,0.0,0.0,0.0,0.0,0.06,0.06,1.65,0.05,0.0,0.0,0.0,0.51,1.0,12.63
35,LUT,M,7,5.72,0.0,1.36,0.03,0.15,1.26,0.15,0.0,0.62,0.74,0.95,0.18,0.0,0.0,0.0,0.0,0.0,0.03,1.46,0.03,0.0,0.0,0.0,0.36,2.0,12.02
57,WOL,D,7,5.71,0.0,0.51,0.01,0.15,1.11,0.29,0.0,0.18,1.01,3.28,0.85,0.0,0.0,0.0,1.59,0.1,0.01,1.92,0.06,0.0,0.0,0.0,0.49,1.0,11.58
27,FUL,D,6,5.5,0.03,0.28,0.0,0.08,1.04,0.2,0.05,0.3,1.42,2.96,0.33,0.0,0.0,0.03,1.53,0.32,0.03,2.0,0.03,0.0,0.0,0.0,0.42,1.0,11.65
28,FUL,F,4,5.39,0.1,0.95,0.1,0.56,0.68,0.1,0.0,0.1,0.2,0.59,0.1,0.0,0.0,0.0,0.0,0.24,0.1,0.88,0.49,0.0,0.0,0.0,0.44,1.0,14.05
11,BOU,M,8,5.29,0.01,0.92,0.05,0.36,0.89,0.04,0.03,0.21,0.99,0.8,0.25,0.0,0.0,0.0,0.0,0.11,0.07,1.41,0.12,0.0,0.0,0.0,0.61,1.0,11.97
29,FUL,M,8,5.26,0.07,0.82,0.03,0.27,0.96,0.18,0.0,0.18,0.58,0.66,0.18,0.0,0.0,0.0,0.0,0.33,0.1,1.51,0.03,0.0,0.0,0.0,0.45,1.0,10.74
55,WHU,F,1,5.2,0.21,0.42,0.11,0.42,0.26,0.21,0.0,0.0,0.11,0.11,0.32,0.0,0.0,0.0,0.0,0.42,0.32,1.89,0.53,0.0,0.0,0.0,0.47,1.0,12.83
16,BUR,F,7,5.0,0.16,0.9,0.1,0.56,0.48,0.06,0.03,0.03,0.11,0.69,0.1,0.0,0.0,0.0,0.0,0.06,0.23,1.32,0.42,0.0,0.0,0.0,0.68,2.0,9.28
40,MUN,F,4,4.9,0.05,1.18,0.09,0.73,0.2,0.09,0.0,0.05,0.23,0.43,0.05,0.0,0.05,0.0,0.0,0.18,0.09,0.8,0.3,0.0,0.0,0.0,0.55,1.0,11.19
17,BUR,M,5,4.84,0.0,0.76,0.08,0.04,1.06,0.25,0.0,0.14,0.69,1.29,0.51,0.0,0.0,0.0,0.0,0.0,0.04,1.94,0.04,0.0,0.0,0.0,0.59,2.0,12.61
59,WOL,M,6,4.51,0.02,0.67,0.04,0.11,1.65,0.35,0.09,0.13,1.22,1.0,0.17,0.0,0.0,0.0,0.0,0.13,0.02,3.11,0.22,0.0,0.0,0.0,0.48,1.0,9.25
49,SHU,F,5,3.94,0.11,0.69,0.11,0.63,0.2,0.23,0.06,0.06,0.17,0.51,0.17,0.0,0.0,0.0,0.0,0.0,0.17,2.29,0.63,0.06,0.0,0.0,0.51,1.0,7.51
9,BOU,D,7,3.32,0.0,0.32,0.03,0.04,1.08,0.13,0.0,0.29,0.78,2.79,0.68,0.0,0.0,0.03,2.11,0.11,0.03,1.46,0.05,0.0,0.0,0.0,0.58,1.0,7.46
48,SHU,D,10,2.34,0.0,0.2,0.05,0.07,0.97,0.26,0.0,0.11,1.19,3.93,0.84,0.0,0.0,0.0,2.52,0.02,0.02,1.84,0.11,0.0,0.0,0.0,0.55,1.0,4.07
15,BUR,D,7,2.04,0.01,0.28,0.03,0.06,0.85,0.18,0.02,0.09,1.19,3.31,0.85,0.0,0.0,0.0,2.7,0.0,0.02,1.38,0.0,0.0,0.0,0.0,0.68,2.0,2.23
