,team,position,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),bs (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean),default fpts (sum),default ghosts (sum),default negative fpts (sum),delta (sum),delta ghosts (sum),delta negative fpts (sum)
56,WHU,RW,1,11.41,0.59,0.53,0.0,1.29,0.94,0.12,0.0,0.0,0.65,0.35,0.18,0.0,0.0,0.0,1.82,0.12,0.59,0.94,0.82,0.0,7.53,-1.53,0.53,1.0,29.12,210.0,135.0,-17.0,-16.0,-7.0,-9.0
43,NEW,LW,3,10.88,0.32,0.95,0.32,0.84,0.63,0.42,0.0,0.21,0.32,0.21,0.0,0.0,0.11,0.0,0.84,0.53,0.53,2.32,0.0,0.0,7.01,-1.71,0.53,1.0,28.45,205.0,134.0,-29.0,1.75,-0.75,-3.5
37,MCI,LW,3,10.87,0.12,2.29,0.35,0.53,0.88,0.12,0.0,0.35,0.29,0.35,0.12,0.0,0.0,0.0,0.82,0.18,0.47,0.94,0.24,0.0,8.4,-1.24,0.47,1.0,20.47,227.0,181.5,-11.5,-42.25,-38.75,-9.5
30,LIV,FW,4,10.63,0.33,1.38,0.52,0.9,0.29,0.19,0.0,0.0,0.29,0.48,0.1,0.0,0.0,0.0,0.86,0.24,0.62,1.81,0.1,0.0,5.64,-1.68,0.43,1.0,22.07,250.5,141.5,-20.0,-27.25,-23.0,-15.25
46,NOT,LW,3,10.58,0.17,2.0,0.33,0.67,0.5,0.0,0.0,0.83,0.17,0.5,0.0,0.0,0.0,0.0,1.0,0.17,0.5,1.0,0.5,0.0,8.08,-1.33,0.67,1.0,8.25,158.0,118.0,-2.0,-31.0,-21.0,-14.0
1,ARS,LW,3,9.99,0.12,1.47,0.35,0.65,1.0,0.0,0.0,0.41,0.82,0.24,0.0,0.0,0.0,0.0,0.94,0.41,0.35,0.82,0.47,0.0,7.53,-1.37,0.53,1.0,17.21,190.0,150.5,-19.5,-20.25,-22.5,-3.75
6,BHA,FW,2,9.95,0.6,0.4,0.0,1.6,0.47,0.0,0.0,0.0,0.27,0.93,0.0,0.0,0.0,0.0,0.87,0.4,0.6,1.07,0.27,0.0,5.77,-1.22,0.6,1.0,13.87,143.5,79.0,-16.5,5.75,7.5,-1.75
59,WOL,RW,2,9.81,0.25,1.5,0.75,0.25,0.0,0.5,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.75,2.25,0.25,0.0,3.88,-1.56,0.75,1.0,28.62,86.0,42.0,-10.0,-7.5,-11.0,-2.5
5,AVL,RW,2,9.81,0.25,1.25,0.5,0.25,0.5,0.25,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.75,2.5,0.0,0.0,5.19,-1.38,0.75,1.0,9.25,82.0,46.0,-8.0,-3.5,-4.5,-3.0
52,TOT,LW,4,9.53,0.0,2.41,0.47,0.71,0.65,0.12,0.0,0.12,0.88,0.82,0.06,0.0,0.0,0.0,0.82,0.41,0.47,1.18,0.12,0.0,7.63,-1.4,0.47,1.0,16.6,200.0,166.0,-14.0,-38.0,-36.25,-9.75
38,MCI,RW,4,9.34,0.18,2.35,0.12,0.47,0.88,0.06,0.0,0.59,0.59,0.59,0.0,0.0,0.0,0.0,0.71,0.41,0.29,0.94,0.12,0.0,7.53,-0.9,0.47,1.0,16.78,187.0,155.0,-12.0,-28.25,-27.0,-3.25
44,NEW,RW,3,9.29,0.32,0.63,0.32,0.63,0.74,0.21,0.0,0.21,0.53,0.58,0.0,0.0,0.11,0.0,0.74,0.42,0.53,1.16,0.21,0.0,4.88,-1.07,0.53,1.0,17.49,171.5,94.0,-20.5,5.0,-1.25,0.25
7,BHA,LW,2,9.28,0.12,2.0,0.38,0.62,0.12,0.25,0.0,0.38,0.75,0.12,0.0,0.0,0.0,0.0,1.5,0.0,0.5,1.62,0.5,0.0,7.12,-1.59,0.62,1.0,20.19,186.0,145.0,-13.0,-37.5,-31.0,-12.5
45,NOT,FW,4,9.09,0.42,1.16,0.21,0.68,0.37,0.11,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,1.42,0.21,0.63,1.05,0.84,0.0,5.37,-1.54,0.42,1.0,20.25,195.0,113.0,-14.0,-22.25,-11.0,-15.25
12,BRF,FW,3,9.02,0.27,0.73,0.27,0.92,0.62,0.08,0.0,0.12,0.54,0.31,0.15,0.0,0.08,0.0,1.15,0.31,0.46,1.42,0.38,0.08,6.19,-1.48,0.46,1.0,17.71,261.5,169.5,-13.0,-27.0,-8.5,-25.5
13,BRF,LW,3,8.96,0.33,1.0,0.17,0.67,0.5,0.0,0.0,0.33,0.5,0.83,0.0,0.0,0.0,0.0,1.0,0.33,0.33,1.67,0.33,0.0,6.29,-1.67,0.67,1.0,15.5,118.0,74.0,-6.0,-10.5,1.5,-14.0
24,EVE,FW,5,8.91,0.32,1.21,0.07,1.43,0.46,0.07,0.0,0.07,0.18,0.71,0.0,0.0,0.0,0.0,0.86,0.43,0.32,1.11,0.46,0.0,7.22,-1.81,0.57,1.0,19.48,306.0,235.5,-25.5,-56.5,-33.25,-25.25
23,CRY,RW,2,8.72,0.06,1.06,0.24,0.59,1.35,0.29,0.0,0.29,0.76,0.59,0.06,0.0,0.0,0.0,1.41,0.35,0.29,2.94,0.24,0.0,9.18,-2.63,0.41,1.0,16.4,147.0,149.5,-35.5,1.25,6.5,-9.25
20,CHE,RW,3,8.25,0.18,1.45,0.36,0.55,0.36,0.36,0.0,0.36,0.55,0.27,0.0,0.0,0.0,0.0,0.64,0.36,0.36,1.82,0.55,0.18,5.8,-1.91,0.45,1.0,25.41,99.0,72.0,-17.0,-8.25,-8.25,-4.0
41,MUN,RW,3,8.18,0.13,1.2,0.0,1.13,0.67,0.2,0.0,0.27,1.33,0.4,0.0,0.0,0.0,0.0,1.13,0.13,0.13,1.2,0.47,0.0,8.18,-1.33,0.47,1.0,19.42,127.0,118.5,-11.5,-4.25,4.25,-8.5
28,FUL,LW,2,7.96,0.12,1.35,0.24,0.88,0.35,0.12,0.0,0.24,0.47,0.29,0.0,0.0,0.0,0.0,1.59,0.24,0.12,0.94,0.0,0.0,6.46,-1.21,0.47,1.0,19.84,140.5,113.5,-15.0,-5.25,-3.75,-5.5
0,ARS,FW,2,7.74,0.29,0.59,0.24,0.41,0.47,0.12,0.0,0.0,0.47,0.18,0.0,0.0,0.24,0.0,0.59,0.65,0.29,1.29,0.65,0.0,4.75,-1.31,0.53,1.0,14.91,142.0,85.0,-12.0,-10.5,-4.25,-10.25
31,LIV,LW,2,7.67,0.33,0.73,0.13,0.4,1.07,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.8,0.27,0.33,1.6,0.53,0.0,5.22,-1.48,0.6,1.0,9.15,134.5,86.5,-9.0,-19.5,-8.25,-13.25
53,TOT,RW,1,7.53,0.21,2.32,0.0,0.63,0.53,0.11,0.0,0.58,0.63,0.11,0.05,0.0,0.0,0.0,0.74,0.47,0.21,1.63,0.53,0.0,7.08,-1.92,0.42,1.0,19.91,203.0,178.0,-20.0,-60.0,-43.5,-16.5
18,CHE,FW,3,7.43,0.35,0.82,0.0,1.18,0.59,0.71,0.0,0.0,0.24,0.65,0.12,0.0,0.0,0.0,0.82,0.47,0.35,3.06,1.06,0.12,6.19,-1.94,0.65,1.0,16.31,134.5,119.5,-39.0,-8.25,-14.25,6.0
9,BOU,FW,1,7.42,0.42,0.95,0.11,1.0,0.11,0.11,0.0,0.11,0.21,1.16,0.11,0.0,0.0,0.0,2.05,0.11,0.53,1.47,0.32,0.0,5.39,-2.5,0.58,1.0,16.47,165.0,112.5,-31.5,-24.0,-10.0,-16.0
40,MUN,LW,2,7.03,0.13,1.07,0.27,0.53,0.27,0.13,0.0,0.0,0.13,0.67,0.13,0.0,0.13,0.0,1.4,0.13,0.27,0.8,0.0,0.0,5.35,-1.38,0.47,1.0,16.62,124.5,97.5,-15.0,-19.0,-17.25,-5.75
57,WOL,FW,4,6.84,0.18,1.07,0.07,0.79,0.64,0.07,0.0,0.0,0.39,0.32,0.21,0.0,0.0,0.0,1.43,0.21,0.25,1.25,0.32,0.0,6.11,-1.45,0.43,1.0,14.68,232.0,202.0,-29.0,-40.5,-31.0,-11.5
21,CRY,FW,2,6.56,0.29,0.71,0.1,0.9,0.38,0.1,0.0,0.05,0.29,0.86,0.0,0.0,0.0,0.0,0.95,0.48,0.38,1.43,0.48,0.0,5.24,-1.92,0.52,1.0,15.94,154.0,116.0,-28.0,-16.25,-6.0,-12.25
15,BUR,FW,2,6.46,0.17,0.75,0.17,0.83,0.58,0.08,0.08,0.0,0.08,1.08,0.17,0.0,0.0,0.0,2.5,0.08,0.33,1.92,0.58,0.0,6.21,-2.42,0.75,2.0,14.62,154.0,122.0,-28.0,1.0,27.0,-30.0
34,LUT,LW,1,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.5,-0.5,1.0,1.0,9.0,19.0,20.0,-1.0,-7.0,-7.0,0.0
11,BOU,RW,3,5.92,0.16,0.84,0.0,0.89,0.58,0.11,0.0,0.26,0.42,0.21,0.11,0.0,0.0,0.0,1.74,0.11,0.16,1.26,0.0,0.0,5.92,-1.53,0.58,1.0,11.36,147.0,135.5,-17.5,-34.5,-23.0,-11.5
33,LUT,FW,3,5.7,0.2,0.8,0.07,0.47,0.4,0.07,0.0,0.07,0.33,1.3,0.03,0.0,0.0,0.0,1.77,0.0,0.27,1.6,0.57,0.13,5.74,-2.31,0.33,2.0,12.9,200.0,158.5,-24.5,-29.0,13.75,-44.75
47,NOT,RW,4,5.25,0.0,1.5,0.0,0.33,0.67,0.17,0.0,0.67,0.17,0.33,0.0,0.0,0.0,0.0,1.17,0.17,0.0,0.83,0.17,0.0,6.21,-1.12,0.67,1.0,12.08,82.0,88.0,-8.0,-19.0,-13.5,-5.5
54,WHU,FW,1,5.2,0.21,0.42,0.11,0.42,0.26,0.21,0.0,0.0,0.11,0.11,0.32,0.0,0.0,0.0,1.11,0.42,0.32,1.89,0.53,0.0,4.25,-1.68,0.47,1.0,12.83,112.0,85.5,-21.5,-13.25,-4.75,-10.5
22,CRY,LW,3,5.19,0.0,1.24,0.0,0.82,0.76,0.24,0.0,0.12,0.29,0.35,0.0,0.0,0.0,0.0,1.24,0.35,0.0,2.0,0.0,0.0,6.68,-1.84,0.41,1.0,15.01,119.0,134.0,-21.0,-30.75,-20.5,-10.25
4,AVL,LW,2,4.65,0.2,0.8,0.0,0.6,0.2,0.2,0.0,0.2,0.0,0.6,0.0,0.0,0.0,0.0,1.0,0.4,0.2,2.0,0.0,0.0,4.55,-2.1,0.6,1.0,4.35,60.0,53.0,-15.0,-13.5,-7.5,-6.0
55,WHU,LW,2,4.46,0.0,0.71,0.0,0.24,0.71,0.29,0.0,0.29,0.47,0.35,0.0,0.0,0.0,0.0,1.59,0.24,0.0,2.18,0.47,0.0,6.19,-1.97,0.53,1.0,15.54,79.5,102.5,-27.0,-3.75,2.75,-6.5
48,SHU,FW,6,4.45,0.12,0.66,0.12,0.62,0.22,0.25,0.06,0.06,0.22,0.56,0.19,0.0,0.0,0.0,2.25,0.0,0.19,2.16,0.66,0.06,5.33,-2.88,0.5,1.0,8.56,166.5,168.0,-61.5,-24.25,2.5,-30.75
16,BUR,LW,5,4.31,0.22,0.89,0.0,0.56,0.67,0.22,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,1.89,0.0,0.22,2.11,0.22,0.0,4.36,-2.06,0.44,2.0,5.28,54.0,49.0,-13.0,-15.25,-9.75,-5.5
29,FUL,RW,2,4.28,0.11,0.53,0.0,0.42,0.74,0.0,0.0,0.32,0.11,0.37,0.0,0.0,0.0,0.0,1.42,0.32,0.11,0.84,0.11,0.0,4.07,-0.95,0.42,1.0,10.26,80.5,66.5,-8.0,0.75,10.75,-10.0
39,MUN,FW,3,2.94,0.0,1.05,0.0,0.86,0.05,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,1.33,0.19,0.0,0.43,0.62,0.0,4.37,-1.43,0.62,1.0,6.92,101.0,119.0,-18.0,-39.25,-27.25,-12.0
26,EVE,RW,1,2.75,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,-0.25,1.0,1.0,24.5,8.0,8.0,0.0,-2.5,-2.0,-0.5
17,BUR,RW,4,2.75,0.15,0.62,0.0,0.31,0.46,0.0,0.0,0.0,0.23,0.31,0.0,0.0,0.0,0.0,1.54,0.15,0.0,0.54,0.31,0.0,3.23,-1.87,0.31,2.0,9.25,31.5,37.5,-6.0,4.25,4.5,-18.25
27,FUL,FW,2,2.62,0.0,0.82,0.0,0.35,0.59,0.12,0.0,0.0,0.0,0.71,0.24,0.0,0.0,0.0,1.35,0.24,0.0,0.82,1.06,0.0,4.32,-1.71,0.47,1.0,6.66,57.5,79.5,-22.0,-13.0,-6.0,-7.0
10,BOU,LW,4,2.45,0.0,0.42,0.0,0.21,0.79,0.11,0.0,0.16,0.32,0.79,0.0,0.0,0.0,0.0,1.53,0.11,0.0,1.84,0.68,0.0,4.14,-1.7,0.58,1.0,6.13,59.5,73.0,-13.5,-13.0,5.75,-18.75
35,LUT,RW,1,1.75,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.75,-4.0,1.0,1.0,11.0,9.0,11.0,-2.0,-5.5,0.5,-6.0
49,SHU,LW,1,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.25,-0.5,1.0,1.0,0.0,0.0,0.0,0.0,1.5,2.5,-1.0
50,SHU,RW,1,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,4.25,-4.25,1.0,1.0,0.0,9.0,10.0,-1.0,-9.0,-1.5,-7.5
25,EVE,LW,1,-0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.75,-1.5,1.0,1.0,0.0,-2.0,0.0,-2.0,0.5,1.5,-1.0
